incident_number,assignment_group,status,resolution_notes,MTTR,Priority,created_date,incident_description
INC101059,LCH - Service1 - Support,Completed,Access: New role permissions assigned manually.,18.43,P4,2021-01-24,IT support unable to log into CRM from London office environment. Not happen song player.
INC101060,LCH - Service1 - Support,Completed,Software: Reinstalled software after registry clean-up.,9.87,P4,2021-01-24,analyst experienced software crash while accessing CRM at NY data center. Million chance so amount memory.
INC101061,LCH - Service2 - Support,Completed,Database: Optimized SQL query to resolve timeout.,10.32,P3,2021-01-24,analyst faced timeout error in VPN client queries run from London office. Turn here lead herself.
INC101062,LCH - Service2 - Support,Completed,Access: Group membership updated in AD.,11.76,P4,2021-01-24,developer unable to log into email gateway from remote session environment. Oil rate technology.
INC101063,LCH - Service1 - Support,In-Progress,Network: DHCP reconfiguration fixed IP allocation.,7.58,P4,2021-01-24,intern reported network disruption at remote session affecting email gateway. Maintain throw hard economic I team.
INC101064,LCH - Service1 - Support,Completed,Software: Patched application resolved crash issue.,15.73,P4,2021-01-24,analyst experienced software crash while accessing data warehouse at HR portal. Rather board six career.
INC101065,LCH - Service2 - Support,Completed,Access: Group membership updated in AD.,11.78,P4,2021-01-24,analyst unable to log into SSO from HR portal environment. Leave put again compare.
INC101066,LCH - Service2 - Support,Completed,Access: Group membership updated in AD.,3.72,P2,2021-01-24,finance user unable to log into SSO from London office environment. Notice nor cultural most remain.
INC101067,LCH - Service2 - Support,Completed,Database: Table indexing completed to improve performance.,12.69,P4,2021-01-24,developer faced timeout error in SSO queries run from NY data center. Film during indicate operation.
INC101068,LCH - Service1 - Support,Completed,Database: Optimized SQL query to resolve timeout.,14.53,P3,2021-01-24,analyst faced timeout error in VPN client queries run from VPN network. Fund forget manager also course million.
INC101069,LCH - Service1 - Support,Completed,Hardware: Cleaned fan assembly and updated BIOS.,7.37,P4,2021-01-24,intern's device at London office showed signs of failure during diagnostics. Letter such let name.
INC101070,LCH - Service2 - Support,Completed,Hardware: Cleaned fan assembly and updated BIOS.,5.03,P4,2021-01-24,manager's device at remote session showed signs of failure during diagnostics. Letter moment sit exist.
INC101071,LCH - Service1 - Support,Completed,Network: VPN issue resolved by resetting tunnel configuration.,10.72,P4,2021-01-24,finance user reported network disruption at HR portal affecting VPN client. Maintain year out rich.
INC101072,LCH - Service1 - Support,In-Progress,Database: Optimized SQL query to resolve timeout.,15.95,P4,2021-01-24,intern faced timeout error in SSO queries run from NY data center. Fast quality success sure when.
INC101073,LCH - Service2 - Support,Completed,Database: Cleared blocking session and restarted job.,13.89,P4,2021-01-24,intern faced timeout error in VPN client queries run from NY data center. Likely civil foot off might.
INC101074,LCH - Service2 - Support,Completed,Access: Group membership updated in AD.,13.72,P4,2021-01-24,IT support unable to log into VPN client from remote session environment. Ago population dream.
INC101075,LCH - Service2 - Support,Completed,Hardware: Power unit replacement resolved the issue.,13.86,P4,2021-01-24,IT support's device at NY data center showed signs of failure during diagnostics. Continue business would anything.
INC101076,LCH - Service2 - Support,In-Progress,Access: Group membership updated in AD.,19.66,P4,2021-01-24,finance user unable to log into VPN client from NY data center environment. Simply nor strong college admit.
INC101077,LCH - Service2 - Support,Completed,Access: Group membership updated in AD.,11.79,P3,2021-01-24,IT support unable to log into VPN client from London office environment. Agree be chance up girl indeed need.
INC101078,LCH - Service1 - Support,Completed,Database: Table indexing completed to improve performance.,14.49,P4,2021-01-24,analyst faced timeout error in VPN client queries run from NY data center. Modern similar action.
INC101079,LCH - Service1 - Support,Completed,Hardware: Cleaned fan assembly and updated BIOS.,6.16,P4,2021-01-24,analyst's device at remote session showed signs of failure during diagnostics. What level time.
INC101080,LCH - Service1 - Support,Completed,Database: Table indexing completed to improve performance.,15.25,P2,2021-01-24,finance user faced timeout error in data warehouse queries run from NY data center. Memory argue amount include give.
INC101081,LCH - Service2 - Support,Completed,Software: Patched application resolved crash issue.,18.16,P4,2021-01-24,intern experienced software crash while accessing SSO at remote session. Imagine I view scene recognize.
INC101082,LCH - Service2 - Support,Completed,Software: Reinstalled software after registry clean-up.,14.32,P4,2021-01-24,developer experienced software crash while accessing data warehouse at VPN network. Important expect too theory feeling nation.
INC101083,LCH - Service1 - Support,Completed,Hardware: Replaced faulty RAM module.,18.24,P4,2021-01-24,developer's device at HR portal showed signs of failure during diagnostics. Phone against have movement chance image.
INC101084,LCH - Service2 - Support,Completed,Software: Patched application resolved crash issue.,11.7,P4,2021-01-24,finance user experienced software crash while accessing VPN client at London office. Whatever tax remember concern go better only.
INC101085,LCH - Service1 - Support,Completed,Network: Switch firmware upgrade resolved packet loss.,8.59,P4,2021-01-24,IT support reported network disruption at NY data center affecting data warehouse. Letter without a ever your.
INC101086,LCH - Service2 - Support,Completed,Software: Reinstalled software after registry clean-up.,11.66,P4,2021-01-24,manager experienced software crash while accessing SSO at remote session. View PM result.
INC101087,LCH - Service1 - Support,Completed,Database: Cleared blocking session and restarted job.,13.78,P4,2021-01-31,manager faced timeout error in data warehouse queries run from VPN network. Lose bad west hundred.
INC101088,LCH - Service1 - Support,Completed,Database: Cleared blocking session and restarted job.,7.71,P4,2021-01-31,manager faced timeout error in VPN client queries run from VPN network. Political mother size little.
INC101089,LCH - Service1 - Support,Completed,Access: New role permissions assigned manually.,9.26,P3,2021-01-31,finance user unable to log into email gateway from NY data center environment. Threat off might season reach.
INC101090,LCH - Service2 - Support,Completed,Database: Table indexing completed to improve performance.,15.45,P4,2021-01-31,analyst faced timeout error in SSO queries run from London office. No look note professor suffer.
INC101091,LCH - Service2 - Support,In-Progress,Software: Patched application resolved crash issue.,3.33,P4,2021-01-31,manager experienced software crash while accessing email gateway at London office. Play listen avoid.
INC101092,LCH - Service2 - Support,Completed,Access: New role permissions assigned manually.,5.53,P4,2021-01-31,IT support unable to log into data warehouse from VPN network environment. Respond which arm behavior opportunity.
INC101093,LCH - Service1 - Support,Completed,Database: Cleared blocking session and restarted job.,10.37,P4,2021-01-31,IT support faced timeout error in CRM queries run from VPN network. On back entire hair.
INC101094,LCH - Service2 - Support,Completed,Hardware: Power unit replacement resolved the issue.,19.87,P3,2021-01-31,manager's device at VPN network showed signs of failure during diagnostics. Big instead strategy and buy.
INC101095,LCH - Service2 - Support,Completed,Access: New role permissions assigned manually.,7.52,P4,2021-01-31,analyst unable to log into VPN client from HR portal environment. Various simple opportunity.
INC101096,LCH - Service2 - Support,Completed,Network: DHCP reconfiguration fixed IP allocation.,14.22,P4,2021-01-31,IT support reported network disruption at VPN network affecting SSO. Tree anyone quickly music total.
INC101097,LCH - Service2 - Support,Completed,Database: Table indexing completed to improve performance.,7.06,P4,2021-01-31,finance user faced timeout error in SSO queries run from NY data center. A art specific capital remain bad.
INC101098,LCH - Service2 - Support,Completed,Access: MFA reset completed for user login.,18.0,P4,2021-01-31,developer unable to log into data warehouse from VPN network environment. Wait show ability be.
INC101099,LCH - Service1 - Support,Completed,Database: Optimized SQL query to resolve timeout.,11.82,P4,2021-01-31,developer faced timeout error in data warehouse queries run from VPN network. Ready team blue far gun.
INC101100,LCH - Service1 - Support,In-Progress,Access: New role permissions assigned manually.,9.25,P4,2021-01-31,analyst unable to log into VPN client from HR portal environment. Society issue modern seven class capital.
INC101101,LCH - Service2 - Support,In-Progress,Software: Patched application resolved crash issue.,21.45,P3,2021-01-31,manager experienced software crash while accessing SSO at HR portal. Represent oil city.
INC101102,LCH - Service1 - Support,Completed,Network: DHCP reconfiguration fixed IP allocation.,12.77,P4,2021-01-31,manager reported network disruption at remote session affecting SSO. People spend determine up four.
INC101103,LCH - Service1 - Support,Completed,Hardware: Power unit replacement resolved the issue.,13.49,P4,2021-01-31,finance user's device at HR portal showed signs of failure during diagnostics. Sometimes cause present determine guy federal.
INC101104,LCH - Service2 - Support,Completed,Hardware: Replaced faulty RAM module.,6.93,P4,2021-01-31,developer's device at London office showed signs of failure during diagnostics. Low issue religious air perform.
INC101105,LCH - Service2 - Support,Completed,Database: Table indexing completed to improve performance.,12.04,P3,2021-01-31,finance user faced timeout error in SSO queries run from HR portal. Scientist sell friend.
INC101106,LCH - Service2 - Support,Completed,Access: New role permissions assigned manually.,8.88,P4,2021-01-31,analyst unable to log into data warehouse from HR portal environment. General service record star.
INC101107,LCH - Service2 - Support,In-Progress,Network: VPN issue resolved by resetting tunnel configuration.,11.62,P4,2021-01-31,IT support reported network disruption at London office affecting CRM. Worker truth interview kid.
INC101108,LCH - Service2 - Support,Completed,Hardware: Replaced faulty RAM module.,19.07,P4,2021-01-31,developer's device at VPN network showed signs of failure during diagnostics. Page happen here.
INC101109,LCH - Service2 - Support,Completed,Hardware: Replaced faulty RAM module.,0.06,P3,2021-01-31,developer's device at London office showed signs of failure during diagnostics. Brother former kind lawyer brother run.
INC101110,LCH - Service1 - Support,Completed,Hardware: Replaced faulty RAM module.,6.11,P4,2021-01-31,intern's device at HR portal showed signs of failure during diagnostics. Maybe school firm color.
INC101111,LCH - Service1 - Support,Completed,Database: Table indexing completed to improve performance.,17.07,P4,2021-01-31,manager faced timeout error in data warehouse queries run from remote session. Push forget charge civil however.
INC101112,LCH - Service1 - Support,Completed,Access: New role permissions assigned manually.,14.52,P3,2021-01-31,IT support unable to log into SSO from remote session environment. Tree prove back tough lay year get.
INC101113,LCH - Service1 - Support,Completed,Hardware: Replaced faulty RAM module.,13.33,P4,2021-01-31,manager's device at HR portal showed signs of failure during diagnostics. Heavy research action dinner tend real.
INC101114,LCH - Service2 - Support,Completed,Software: Patched application resolved crash issue.,2.53,P4,2021-01-31,IT support experienced software crash while accessing CRM at remote session. Paper human market us yeah word.
INC101115,LCH - Service2 - Support,Completed,Hardware: Power unit replacement resolved the issue.,2.34,P4,2021-01-31,manager's device at HR portal showed signs of failure during diagnostics. Much employee window moment.
INC101116,LCH - Service2 - Support,Completed,Software: Reinstalled software after registry clean-up.,2.68,P2,2021-01-31,analyst experienced software crash while accessing email gateway at NY data center. That find painting new option.
INC101117,LCH - Service2 - Support,Completed,Database: Cleared blocking session and restarted job.,7.41,P4,2021-01-31,finance user faced timeout error in email gateway queries run from HR portal. Week agency under know resource.
INC101118,LCH - Service1 - Support,Completed,Network: Switch firmware upgrade resolved packet loss.,11.87,P3,2021-01-31,manager reported network disruption at HR portal affecting email gateway. Authority month gun individual national similar.
INC101119,LCH - Service2 - Support,Completed,Database: Optimized SQL query to resolve timeout.,14.01,P4,2021-01-31,finance user faced timeout error in CRM queries run from VPN network. Finish shake teacher.
INC101120,LCH - Service2 - Support,Completed,Access: MFA reset completed for user login.,7.12,P4,2021-01-31,developer unable to log into CRM from NY data center environment. Civil money rich those within.
INC101121,LCH - Service2 - Support,Completed,Network: VPN issue resolved by resetting tunnel configuration.,2.62,P4,2021-01-31,IT support reported network disruption at NY data center affecting VPN client. Service reason story three vote.
INC101122,LCH - Service2 - Support,Completed,Hardware: Cleaned fan assembly and updated BIOS.,0.7,P4,2021-01-31,analyst's device at remote session showed signs of failure during diagnostics. Unit very one true theory.
INC101123,LCH - Service1 - Support,Completed,Software: Reinstalled software after registry clean-up.,6.96,P4,2021-01-31,IT support experienced software crash while accessing VPN client at HR portal. Case few wife dinner.
INC101124,LCH - Service1 - Support,Completed,Database: Cleared blocking session and restarted job.,4.84,P4,2021-01-31,finance user faced timeout error in data warehouse queries run from remote session. Star every quickly college visit big.
INC101125,LCH - Service1 - Support,Completed,Hardware: Replaced faulty RAM module.,6.53,P4,2021-01-31,developer's device at NY data center showed signs of failure during diagnostics. Door former raise owner.
INC101126,LCH - Service1 - Support,In-Progress,Hardware: Cleaned fan assembly and updated BIOS.,7.56,P4,2021-01-31,analyst's device at remote session showed signs of failure during diagnostics. Every or many star street local.
INC101127,LCH - Service2 - Support,Completed,Database: Cleared blocking session and restarted job.,3.5,P4,2021-01-31,developer faced timeout error in data warehouse queries run from VPN network. Rest value easy well card table.
INC101128,LCH - Service1 - Support,Completed,Database: Cleared blocking session and restarted job.,0.03,P4,2021-01-31,IT support faced timeout error in SSO queries run from HR portal. Performance life score story.
INC101129,LCH - Service2 - Support,Completed,Software: Patched application resolved crash issue.,8.99,P2,2021-01-31,finance user experienced software crash while accessing data warehouse at remote session. Foot choice glass general its agency environmental.
INC101130,LCH - Service1 - Support,Completed,Access: MFA reset completed for user login.,5.48,P4,2021-01-31,intern unable to log into VPN client from NY data center environment. Fear group evidence medical.
INC101131,LCH - Service1 - Support,Completed,Hardware: Cleaned fan assembly and updated BIOS.,8.03,P4,2021-01-31,developer's device at HR portal showed signs of failure during diagnostics. Drop chair may play ability.
INC101132,LCH - Service1 - Support,Completed,Database: Optimized SQL query to resolve timeout.,2.22,P4,2021-01-31,manager faced timeout error in CRM queries run from VPN network. Home general no store like player.
INC101133,LCH - Service2 - Support,Completed,Network: VPN issue resolved by resetting tunnel configuration.,17.44,P4,2021-02-07,manager reported network disruption at NY data center affecting CRM. Hair picture onto.
INC101134,LCH - Service2 - Support,Completed,Access: New role permissions assigned manually.,4.48,P4,2021-02-07,finance user unable to log into CRM from HR portal environment. Outside reason pull.
INC101135,LCH - Service1 - Support,Completed,Hardware: Replaced faulty RAM module.,17.23,P3,2021-02-07,analyst's device at London office showed signs of failure during diagnostics. Base explain really simply staff.
INC101136,LCH - Service2 - Support,Completed,Software: Updated dependency libraries to resolve error.,4.57,P4,2021-02-07,IT support experienced software crash while accessing SSO at VPN network. Find far state baby.
INC101137,LCH - Service2 - Support,In-Progress,Software: Reinstalled software after registry clean-up.,9.23,P4,2021-02-07,IT support experienced software crash while accessing SSO at remote session. Before system allow.
INC101138,LCH - Service2 - Support,Completed,Database: Cleared blocking session and restarted job.,10.69,P4,2021-02-07,finance user faced timeout error in SSO queries run from HR portal. Production development test everybody.
INC101139,LCH - Service1 - Support,Completed,Database: Table indexing completed to improve performance.,13.31,P4,2021-02-07,developer faced timeout error in SSO queries run from HR portal. Hard again enough else hospital box.
INC101140,LCH - Service2 - Support,Completed,Network: DHCP reconfiguration fixed IP allocation.,7.92,P2,2021-02-07,intern reported network disruption at VPN network affecting data warehouse. Style summer idea almost item five.
INC101141,LCH - Service1 - Support,Completed,Hardware: Replaced faulty RAM module.,6.85,P4,2021-02-07,manager's device at VPN network showed signs of failure during diagnostics. Fall ten theory program need.
INC101142,LCH - Service1 - Support,Completed,Access: MFA reset completed for user login.,13.12,P4,2021-02-07,developer unable to log into email gateway from HR portal environment. Entire herself allow board performance.
INC101143,LCH - Service2 - Support,Completed,Network: Switch firmware upgrade resolved packet loss.,2.3,P4,2021-02-07,intern reported network disruption at VPN network affecting email gateway. Whether he program behavior system.
INC101144,LCH - Service2 - Support,Cancelled,Network: VPN issue resolved by resetting tunnel configuration.,16.89,P4,2021-02-14,finance user reported network disruption at London office affecting VPN client. Plan give way.
INC101145,LCH - Service1 - Support,In-Progress,Software: Updated dependency libraries to resolve error.,20.05,P4,2021-02-14,manager experienced software crash while accessing email gateway at VPN network. Peace well have.
INC101146,LCH - Service1 - Support,Completed,Software: Updated dependency libraries to resolve error.,9.87,P4,2021-02-14,analyst experienced software crash while accessing SSO at HR portal. Western last party less technology.
INC101147,LCH - Service1 - Support,Completed,Network: Switch firmware upgrade resolved packet loss.,15.5,P4,2021-02-14,finance user reported network disruption at HR portal affecting VPN client. Now role include.
INC101148,LCH - Service2 - Support,Completed,Database: Table indexing completed to improve performance.,5.96,P3,2021-02-14,intern faced timeout error in VPN client queries run from VPN network. Thus wrong who environmental benefit.
INC101149,LCH - Service1 - Support,Completed,Hardware: Replaced faulty RAM module.,19.69,P4,2021-02-14,IT support's device at London office showed signs of failure during diagnostics. Cause center particularly none.
INC101150,LCH - Service1 - Support,In-Progress,Hardware: Cleaned fan assembly and updated BIOS.,13.84,P4,2021-02-14,analyst's device at VPN network showed signs of failure during diagnostics. College song my coach expect.
INC101151,LCH - Service2 - Support,Completed,Network: Switch firmware upgrade resolved packet loss.,12.12,P4,2021-02-14,analyst reported network disruption at remote session affecting SSO. Yard strategy why western.
INC101152,LCH - Service1 - Support,In-Progress,Database: Table indexing completed to improve performance.,17.11,P4,2021-02-21,finance user faced timeout error in data warehouse queries run from VPN network. Management administration small purpose can wear.
INC101153,LCH - Service1 - Support,Completed,Access: MFA reset completed for user login.,3.63,P4,2021-02-21,intern unable to log into email gateway from VPN network environment. Act candidate top force management design.
INC101154,LCH - Service1 - Support,Completed,Access: New role permissions assigned manually.,6.55,P3,2021-02-21,developer unable to log into SSO from VPN network environment. Apply more will.
INC101155,LCH - Service1 - Support,Completed,Hardware: Replaced faulty RAM module.,7.71,P4,2021-02-21,finance user's device at remote session showed signs of failure during diagnostics. Adult second attorney lawyer.
INC101156,LCH - Service2 - Support,Completed,Software: Updated dependency libraries to resolve error.,6.88,P4,2021-02-21,IT support experienced software crash while accessing SSO at London office. Tough trouble item what.
INC101157,LCH - Service1 - Support,Completed,Access: Group membership updated in AD.,11.15,P4,2021-02-21,intern unable to log into VPN client from remote session environment. Score floor what social.
INC101158,LCH - Service1 - Support,In-Progress,Network: Switch firmware upgrade resolved packet loss.,18.5,P3,2021-02-21,IT support reported network disruption at London office affecting data warehouse. Cause common face.
INC101159,LCH - Service2 - Support,Completed,Software: Updated dependency libraries to resolve error.,8.46,P3,2021-02-21,developer experienced software crash while accessing CRM at remote session. Arrive gas create south art century.
INC101160,LCH - Service1 - Support,Completed,Database: Cleared blocking session and restarted job.,9.1,P4,2021-02-21,analyst faced timeout error in data warehouse queries run from HR portal. Language life area.
INC101161,LCH - Service1 - Support,Completed,Database: Table indexing completed to improve performance.,12.42,P4,2021-02-21,manager faced timeout error in VPN client queries run from London office. Question picture maintain product for.
INC101162,LCH - Service1 - Support,Completed,Software: Updated dependency libraries to resolve error.,6.04,P4,2021-02-21,intern experienced software crash while accessing email gateway at VPN network. Act free account bar charge.
INC101163,LCH - Service1 - Support,Completed,Database: Cleared blocking session and restarted job.,10.13,P4,2021-02-21,finance user faced timeout error in CRM queries run from HR portal. Scientist other throughout.
INC101164,LCH - Service1 - Support,Completed,Access: MFA reset completed for user login.,6.26,P4,2021-02-21,developer unable to log into VPN client from remote session environment. Reflect force yes computer teach.
INC101165,LCH - Service2 - Support,Completed,Access: Group membership updated in AD.,3.67,P4,2021-02-28,finance user unable to log into VPN client from HR portal environment. Crime camera third line risk science.
INC101166,LCH - Service1 - Support,In-Progress,Database: Optimized SQL query to resolve timeout.,14.92,P3,2021-02-28,analyst faced timeout error in SSO queries run from HR portal. Side another among fine.
INC101167,LCH - Service1 - Support,Completed,Access: New role permissions assigned manually.,15.76,P4,2021-02-28,IT support unable to log into data warehouse from London office environment. Choice ball Republican.
INC101168,LCH - Service2 - Support,Completed,Software: Reinstalled software after registry clean-up.,15.08,P4,2021-02-28,developer experienced software crash while accessing data warehouse at remote session. Impact else case.
INC101169,LCH - Service1 - Support,Completed,Database: Cleared blocking session and restarted job.,14.45,P4,2021-02-28,manager faced timeout error in VPN client queries run from NY data center. Should see side character democratic use.
INC101170,LCH - Service2 - Support,Completed,Access: Group membership updated in AD.,22.66,P2,2021-02-28,IT support unable to log into VPN client from NY data center environment. Face bit mouth hear interesting response.
INC101171,LCH - Service2 - Support,Completed,Access: Group membership updated in AD.,4.33,P4,2021-02-28,finance user unable to log into VPN client from VPN network environment. Without each art reduce event.
INC101172,LCH - Service1 - Support,In-Progress,Software: Reinstalled software after registry clean-up.,13.92,P4,2021-02-28,analyst experienced software crash while accessing CRM at remote session. Degree yard environment trade.
INC101173,LCH - Service1 - Support,Completed,Access: Group membership updated in AD.,13.36,P3,2021-02-28,finance user unable to log into CRM from NY data center environment. Draw office serious.
INC101174,LCH - Service1 - Support,Completed,Network: VPN issue resolved by resetting tunnel configuration.,22.83,P4,2021-02-28,finance user reported network disruption at HR portal affecting email gateway. Take approach fill.
INC101175,LCH - Service2 - Support,Completed,Access: Group membership updated in AD.,3.08,P4,2021-02-28,manager unable to log into CRM from VPN network environment. Board fill deal.
INC101176,LCH - Service2 - Support,Completed,Access: Group membership updated in AD.,8.5,P3,2021-02-28,intern unable to log into email gateway from VPN network environment. Suffer level affect.
INC101177,LCH - Service2 - Support,Completed,Network: Switch firmware upgrade resolved packet loss.,14.58,P4,2021-03-07,finance user reported network disruption at NY data center affecting VPN client. Girl represent direction car.
INC101178,LCH - Service2 - Support,Cancelled,Access: MFA reset completed for user login.,11.14,P4,2021-03-07,developer unable to log into CRM from NY data center environment. Question there develop similar study something.
INC101179,LCH - Service1 - Support,Completed,Access: MFA reset completed for user login.,9.2,P4,2021-03-07,developer unable to log into CRM from VPN network environment. Knowledge across nor present hear.
INC101180,LCH - Service1 - Support,Completed,Hardware: Cleaned fan assembly and updated BIOS.,9.65,P4,2021-03-07,analyst's device at London office showed signs of failure during diagnostics. Sit exactly hair.
INC101181,LCH - Service2 - Support,In-Progress,Access: Group membership updated in AD.,7.9,P3,2021-03-07,intern unable to log into SSO from HR portal environment. To she step girl control.
INC101182,LCH - Service2 - Support,Completed,Database: Optimized SQL query to resolve timeout.,12.03,P4,2021-03-07,developer faced timeout error in email gateway queries run from HR portal. Close sport arrive dog.
INC101183,LCH - Service1 - Support,Completed,Software: Updated dependency libraries to resolve error.,1.41,P4,2021-03-07,analyst experienced software crash while accessing SSO at HR portal. Near single understand.
INC101184,LCH - Service1 - Support,Completed,Network: VPN issue resolved by resetting tunnel configuration.,3.92,P4,2021-03-14,analyst reported network disruption at HR portal affecting CRM. Leave really down simply.
INC101185,LCH - Service1 - Support,Completed,Database: Table indexing completed to improve performance.,7.22,P2,2021-03-14,finance user faced timeout error in CRM queries run from remote session. Best or during reduce nature.
INC101186,LCH - Service1 - Support,Completed,Database: Cleared blocking session and restarted job.,6.47,P4,2021-03-14,finance user faced timeout error in SSO queries run from NY data center. Authority decision gun way.
INC101187,LCH - Service2 - Support,Completed,Access: Group membership updated in AD.,11.15,P4,2021-03-14,finance user unable to log into SSO from VPN network environment. Treat similar kind traditional present.
INC101188,LCH - Service2 - Support,Completed,Access: New role permissions assigned manually.,12.11,P3,2021-03-14,IT support unable to log into SSO from London office environment. During card some star onto care.
INC101189,LCH - Service2 - Support,In-Progress,Database: Optimized SQL query to resolve timeout.,13.5,P4,2021-03-14,analyst faced timeout error in data warehouse queries run from NY data center. Agency instead hundred.
INC101190,LCH - Service1 - Support,Cancelled,Access: MFA reset completed for user login.,9.45,P4,2021-03-14,analyst unable to log into VPN client from VPN network environment. Attack reality meet.
INC101191,LCH - Service1 - Support,In-Progress,Database: Optimized SQL query to resolve timeout.,9.79,P3,2021-03-14,developer faced timeout error in data warehouse queries run from VPN network. Address stay heavy success third building.
INC101192,LCH - Service1 - Support,Completed,Database: Table indexing completed to improve performance.,9.03,P4,2021-03-14,analyst faced timeout error in SSO queries run from remote session. Letter able individual front.
INC101193,LCH - Service1 - Support,Completed,Network: DHCP reconfiguration fixed IP allocation.,12.11,P4,2021-03-14,finance user reported network disruption at HR portal affecting data warehouse. Hold new subject perform reflect federal.
INC101194,LCH - Service2 - Support,Completed,Hardware: Power unit replacement resolved the issue.,4.61,P4,2021-03-14,IT support's device at VPN network showed signs of failure during diagnostics. Building against minute.
INC101195,LCH - Service2 - Support,Completed,Network: VPN issue resolved by resetting tunnel configuration.,9.8,P4,2021-03-14,intern reported network disruption at NY data center affecting data warehouse. Cover allow marriage.
INC101196,LCH - Service1 - Support,Completed,Software: Updated dependency libraries to resolve error.,7.72,P4,2021-03-14,analyst experienced software crash while accessing SSO at London office. Star everybody suffer win remain.
INC101197,LCH - Service1 - Support,Completed,Access: Group membership updated in AD.,9.73,P4,2021-03-14,finance user unable to log into VPN client from remote session environment. Task even into term investment special such.
INC101198,LCH - Service1 - Support,Completed,Network: VPN issue resolved by resetting tunnel configuration.,13.42,P4,2021-03-21,IT support reported network disruption at VPN network affecting SSO. Argue idea candidate page movie executive.
INC101199,LCH - Service1 - Support,Completed,Access: MFA reset completed for user login.,8.46,P3,2021-03-21,manager unable to log into SSO from London office environment. Become international our sing.
INC101200,LCH - Service1 - Support,Completed,Database: Optimized SQL query to resolve timeout.,9.34,P4,2021-03-21,manager faced timeout error in CRM queries run from VPN network. Early born dog sort international trial.
INC101201,LCH - Service1 - Support,Completed,Access: MFA reset completed for user login.,13.67,P4,2021-03-21,analyst unable to log into email gateway from VPN network environment. Leave perform wall change.
INC101202,LCH - Service1 - Support,Completed,Database: Cleared blocking session and restarted job.,9.79,P4,2021-03-21,developer faced timeout error in VPN client queries run from London office. Magazine voice look high save sit.
INC101203,LCH - Service2 - Support,In-Progress,Hardware: Replaced faulty RAM module.,6.5,P3,2021-03-21,intern's device at London office showed signs of failure during diagnostics. Finally indicate pass stand.
INC101204,LCH - Service1 - Support,Completed,Software: Reinstalled software after registry clean-up.,13.57,P4,2021-03-21,analyst experienced software crash while accessing SSO at VPN network. Program become week.
INC101205,LCH - Service1 - Support,Cancelled,Access: Group membership updated in AD.,11.33,P4,2021-03-21,IT support unable to log into VPN client from VPN network environment. Hold collection would get wrong.
INC101206,LCH - Service2 - Support,Completed,Access: New role permissions assigned manually.,14.06,P4,2021-03-21,analyst unable to log into VPN client from VPN network environment. Image do news style find between.
INC101207,LCH - Service1 - Support,Completed,Hardware: Replaced faulty RAM module.,7.6,P3,2021-03-21,IT support's device at London office showed signs of failure during diagnostics. Pass southern ago home.
INC101208,LCH - Service2 - Support,Completed,Network: Switch firmware upgrade resolved packet loss.,3.02,P2,2021-03-21,manager reported network disruption at NY data center affecting CRM. Federal turn a prevent begin factor.
INC101209,LCH - Service1 - Support,In-Progress,Software: Updated dependency libraries to resolve error.,13.36,P4,2021-03-21,analyst experienced software crash while accessing SSO at VPN network. Meet subject bed gas size.
INC101210,LCH - Service2 - Support,Completed,Software: Updated dependency libraries to resolve error.,10.88,P4,2021-03-21,intern experienced software crash while accessing CRM at VPN network. Politics drug necessary.
INC101211,LCH - Service2 - Support,Completed,Hardware: Power unit replacement resolved the issue.,12.13,P2,2021-03-28,developer's device at HR portal showed signs of failure during diagnostics. Opportunity billion attorney reveal.
INC101212,LCH - Service1 - Support,Completed,Software: Patched application resolved crash issue.,3.03,P4,2021-03-28,finance user experienced software crash while accessing SSO at London office. Six available window.
INC101213,LCH - Service2 - Support,Completed,Database: Table indexing completed to improve performance.,22.58,P4,2021-03-28,IT support faced timeout error in CRM queries run from London office. Future general community practice.
INC101214,LCH - Service2 - Support,Completed,Network: Switch firmware upgrade resolved packet loss.,17.79,P2,2021-03-28,finance user reported network disruption at remote session affecting VPN client. Local go middle board continue time.
INC101215,LCH - Service2 - Support,Completed,Database: Cleared blocking session and restarted job.,18.58,P4,2021-03-28,developer faced timeout error in CRM queries run from London office. Music together project.
INC101216,LCH - Service2 - Support,Completed,Hardware: Cleaned fan assembly and updated BIOS.,9.38,P4,2021-03-28,analyst's device at NY data center showed signs of failure during diagnostics. Condition key argue lead program budget.
INC101217,LCH - Service1 - Support,Cancelled,Database: Optimized SQL query to resolve timeout.,11.66,P3,2021-03-28,analyst faced timeout error in VPN client queries run from London office. Clearly admit city blood happy.
INC101218,LCH - Service1 - Support,Completed,Hardware: Cleaned fan assembly and updated BIOS.,15.82,P3,2021-03-28,analyst's device at NY data center showed signs of failure during diagnostics. Woman cover without.
INC101219,LCH - Service1 - Support,Completed,Software: Updated dependency libraries to resolve error.,15.76,P4,2021-03-28,manager experienced software crash while accessing email gateway at remote session. Discussion someone beyond marriage.
INC101220,LCH - Service2 - Support,Completed,Access: New role permissions assigned manually.,11.63,P4,2021-03-28,developer unable to log into CRM from remote session environment. Six security somebody.
INC101221,LCH - Service1 - Support,In-Progress,Software: Patched application resolved crash issue.,7.5,P4,2021-03-28,intern experienced software crash while accessing email gateway at HR portal. First quite media should kid.
INC101222,LCH - Service1 - Support,Completed,Software: Reinstalled software after registry clean-up.,2.41,P4,2021-03-28,intern experienced software crash while accessing CRM at London office. Part technology business do open.
